docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon,DEAD,WIND,RED,STRANGE,HALF,GREY,TIS,BETWEEN,FAITH,WOMAN,GRASS,SUDDEN,BROWN,LEST,YELLOW,SHUT,HOLLOW,MOUTH,WOMEN,NIGHTS,DUMB,WRITTEN,BLOWN,STIR,ASLEEP,I_LL,LAUGHED,NATION,HERS,SCENES,WAN,I_VE,TREASURES,KNEES,FRIENDSHIP,NAKED,PEN,STRAINS,ACHING,SITTING,YESTERDAY,GARDENS,PASSIONATE,PURSUE,WE_LL,WOULDST,CREEPING,DUSK,BROODING,UNDERNEATH,SMOTE,BREATHLESS,SAVIOUR,REIGNS,BLOWING,HARSH,COLOURED,DUSTY,VAGUE,MOANING,IMPART,JESUS,CURLED,HURRYING,SHAKEN,FOLK,BESTOW,HURT,MISSION,LONDON,BEATEN,ALIEN,DRIPPING
uc1.b3342759,1919,1919,1919,random,7930862,,Wigren[COMMA] Bessie C.,Boston;The Poet Lore Company;c1919,,Summer wind,,,,,,1874,f,us,,,,7,10,4,2,0,3,4,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,3,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0
uc1.b4100590,1918,1918,1918,reviewed,6154122,2143179,Waugh[COMMA] Alec[COMMA],London;G. Richards;1918.,,Resentment,rev,,,1918,EGO,1898,m,uk,,,,7,3,3,3,5,4,0,6,0,2,2,3,1,1,1,1,0,1,0,1,2,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
uc1.b3340220,1918,1918,1918,reviewed,7917249,12688503,Nightingale[COMMA] M.,Oxford [Oxfordshire;B.H. Blackwell;1918.,,Verses wise and otherwise,rev,neg,,1919,EGO,1879,f,uk,,,,12,7,3,0,0,8,2,1,1,1,1,0,3,9,2,0,1,0,0,0,0,0,3,1,1,1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0
uc2.ark+=13960=t0ft8gj1k,1918,1918,1918,reviewed,7657411,2518108,Faber[COMMA] Geoffrey[COMMA],Oxford;B. H. Blackwell;New York;Longmans[COMMA] Green & Co.;1918.,,In the valley of vision,rev,,,1918,EGO,1889,m,uk,,,,9,4,5,5,3,5,10,3,5,1,3,1,0,2,2,2,1,0,0,2,8,3,3,2,2,0,2,0,1,0,1,0,1,1,1,4,0,0,1,1,2,1,1,2,0,0,0,3,1,1,2,1,0,0,1,4,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
uc2.ark+=13960=t6k070h7g,1918,1918,1918,reviewed,6607061,2809404,Farjeon[COMMA] Eleanor[COMMA],Oxford;B.H. Blackwell;New York;Sold in America by Longmans[COMMA] Green;1918,,Sonnets and poems,rev,,,1918,EGO,1881,f,uk,,,,2,9,2,8,8,4,1,1,3,2,2,2,2,0,3,2,1,2,1,0,4,0,1,2,1,1,1,0,0,0,1,0,0,1,0,2,0,0,2,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0
miun.abr7660.0001.001,1918,1918,1918,reviewed,389498,736313,Ford[COMMA] Ford Madox[COMMA],London;John Lane;New York;John Lane company;1918.,,On Heaven[COMMA] and poems written on active service,rev,,,1918,EGO,1873,m,uk,,,,12,2,8,6,3,9,0,8,2,4,1,2,6,0,1,0,0,0,4,4,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,1,0,0,1,3,0,3,0,0,2,0,1,8,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0
mdp.39015008296884,1918,1918,1918,random,1187193,,Thomas[COMMA] Edward[COMMA],London;Selwyn & Blount;1918.,,Last poems,,,,,,1878,m,uk,,Well-known,y,18,31,0,10,20,5,10,12,0,4,16,1,6,1,3,1,8,2,1,3,1,0,0,2,0,1,6,0,1,0,0,3,0,1,1,1,1,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
njp.32101067680247,1918,1918,1918,random,8963885,,Carmichael[COMMA] Amy[COMMA],Edinburgh;Oliphant;1918,,Made in the pans,,,,,,1867,f,uk,,,,4,40,13,8,1,14,5,6,7,0,11,15,7,9,3,4,3,0,0,2,5,4,6,4,3,1,0,0,1,0,0,0,4,0,0,5,0,0,0,2,3,4,0,2,0,3,2,0,3,0,3,0,7,1,0,0,3,2,0,1,0,2,1,3,0,3,0,3,0,0,2,2,1
loc.ark+=13960=t3902s17h,1918,1918,1918,random,9577666,,Gruse[COMMA] Edward.,Boston;The Gorham Press;1918.,,Echoes of democracy,,,,,,1884,m,us,,,,2,10,7,0,5,2,3,0,3,0,4,6,2,1,1,0,2,0,0,1,0,0,8,1,1,2,1,3,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1
loc.ark+=13960=t40s0803k,1918,1918,1918,random,9568238,,Jenness[COMMA] Burt Franklin[COMMA],Boston[COMMA] The Cornhill Company;c1918,,Man-o[APOSTROPHE]-war rhymes,,,,,,1876,m,us,,,,20,2,6,4,13,3,2,7,2,6,0,2,3,1,0,0,0,0,5,2,1,1,1,1,0,11,0,2,0,3,1,21,0,1,1,0,1,0,1,1,0,1,0,0,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1
