docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
loc.ark+=13960=t8sb4zz1q,1921,1921,1921,addcanon,537314,,Lawrence[COMMA] D. H.,New York;T. Seltzer;1921.,,Tortoises,,,,,,1885,m,uk,,,y
uc1.b3342759,1919,1919,1919,random,7930862,,Wigren[COMMA] Bessie C.,Boston;The Poet Lore Company;c1919,,Summer wind,,,,,,1874,f,us,,,
uc1.b4100590,1918,1918,1918,reviewed,6154122,2143179,Waugh[COMMA] Alec[COMMA],London;G. Richards;1918.,,Resentment,rev,,,1918,EGO,1898,m,uk,,,
uc1.b3340220,1918,1918,1918,reviewed,7917249,12688503,Nightingale[COMMA] M.,Oxford [Oxfordshire;B.H. Blackwell;1918.,,Verses wise and otherwise,rev,neg,,1919,EGO,1879,f,uk,,,
uc2.ark+=13960=t0ft8gj1k,1918,1918,1918,reviewed,7657411,2518108,Faber[COMMA] Geoffrey[COMMA],Oxford;B. H. Blackwell;New York;Longmans[COMMA] Green & Co.;1918.,,In the valley of vision,rev,,,1918,EGO,1889,m,uk,,,
uc2.ark+=13960=t6k070h7g,1918,1918,1918,reviewed,6607061,2809404,Farjeon[COMMA] Eleanor[COMMA],Oxford;B.H. Blackwell;New York;Sold in America by Longmans[COMMA] Green;1918,,Sonnets and poems,rev,,,1918,EGO,1881,f,uk,,,
miun.abr7660.0001.001,1918,1918,1918,reviewed,389498,736313,Ford[COMMA] Ford Madox[COMMA],London;John Lane;New York;John Lane company;1918.,,On Heaven[COMMA] and poems written on active service,rev,,,1918,EGO,1873,m,uk,,,
mdp.39015008296884,1918,1918,1918,random,1187193,,Thomas[COMMA] Edward[COMMA],London;Selwyn & Blount;1918.,,Last poems,,,,,,1878,m,uk,,Well-known,y
njp.32101067680247,1918,1918,1918,random,8963885,,Carmichael[COMMA] Amy[COMMA],Edinburgh;Oliphant;1918,,Made in the pans,,,,,,1867,f,uk,,,
loc.ark+=13960=t3902s17h,1918,1918,1918,random,9577666,,Gruse[COMMA] Edward.,Boston;The Gorham Press;1918.,,Echoes of democracy,,,,,,1884,m,us,,,
loc.ark+=13960=t40s0803k,1918,1918,1918,random,9568238,,Jenness[COMMA] Burt Franklin[COMMA],Boston[COMMA] The Cornhill Company;c1918,,Man-o[APOSTROPHE]-war rhymes,,,,,,1876,m,us,,,
loc.ark+=13960=t7pn9zm6f,1918,1918,1918,random,7665565,,McClure[COMMA] John Peebles[COMMA],New York;A. A. Knopf;1918.,,Airs and ballads,,,,,,1893,m,us,,,
mdp.39015013402501,1918,1918,1918,addcanon,537645,,Lawrence[COMMA] D. H.,New York;B. W. Huebsch;1918.,,Look! We Have Come Through,,,,,,1885,m,uk,,,y
uc1.b3626228,1917,1917,1917,reviewed,309384,795110,Aiken[COMMA] Conrad[COMMA],Boston;The Four Seas Company;1917.,,Nocturne of remembered spring[COMMA] and other poems,rev,,,1918,EGO,1889,m,us,,,
uc2.ark+=13960=t80k27j8j,1917,1917,1917,reviewed,1838375,1006049,Eliot[COMMA] T. S.,London;The Egoist Ltd. ...;1917.,,Prufrock and other observations,rev,pos,,1917,EGO,1888,m,us,,,y
uc1.b4100506,1917,1917,1917,reviewed,6154086,3545363,Campbell[COMMA] Joseph[COMMA],Dublin;London;Maunsel;1917.;(Dublin;George Roberts),,Earth of Cualann,rev,pos,,1917,EGO,1879,m,ir,Seosamh Mac Cathmhaoil,,
loc.ark+=13960=t0dv25v7j,1917,1917,1917,random,9565056,,Reed[COMMA] Helen Leah[COMMA],Boston;De Wolfe and Fiske;c1917.,,Memorial Day[COMMA] and other verse (original and translated),,,,,,1860,f,us,,,
loc.ark+=13960=t76t19455,1917,1917,1917,random,6517209,,Bachtell[COMMA] Paul B.,Los Angeles;Baumgardt Publishing Company;1917.,,At Lucifer[APOSTROPHE]s portals,,,,,,1890,m,us,,,
uc2.ark+=13960=t6736mr5n,1917,1917,1917,random,6228739,,Aikins[COMMA] Carroll.,Boston;Sherman[COMMA] French & Company;1917.,,Poems,,,,,,1888,m,ca,,,
loc.ark+=13960=t3nv9z201,1917,1917,1917,random,9590157,,Kirk[COMMA] Annie (Brindley)[COMMA],Detroit;1917,,Inspirational poems,,,,,,1855,f,us,,,
uc2.ark+=13960=t94748994,1917,1917,1917,random,2651411,,Wood[COMMA] Clement[COMMA],New York;L. J. Gomme;1917.,,Glad of earth,,,,,,1888,m,us,,,
loc.ark+=13960=t13n30w9p,1917,1917,1917,random,11213778,,Andrews[COMMA] Edith Fargo.,Boston;Sherman[COMMA] French & Company;1917.,,Vagrant visions,,,,,,1888,f,us,,,
mdp.39015012978758,1916,1916,1916,reviewed,1029355,486117,Seeger[COMMA] Alan[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1916.,,Poems,rev,,,1917,EGO,1888,m,us,,,
uc1.b4101052,1916,1916,1916,reviewed,631830,513652,Masters[COMMA] Edgar Lee[COMMA],New York;The Macmillan company;1916.,,Songs and satires,rev,,,1916,PMV,1868,m,us,,,
mdp.39015048709672,1916,1916,1916,reviewed,186256,603883,De la Mare[COMMA] Walter[COMMA],New York;Henry Holt and Co.;1916.,,The listeners[COMMA] and other poems,rev,,,1916,PMV,1873,m,uk,,,
loc.ark+=13960=t10p1hx6j,1916,1916,1916,reviewed,6154895,1926345,Arensberg[COMMA] Walter[COMMA],Boston and New York;Houghton Mifflin Co.;1916.,,Idols,rev,pos,,1916,PMV,1878,m,us,,,
nyp.33433066644851,1916,1916,1916,reviewed,1029308,28227389,Sandburg[COMMA] Carl[COMMA],New York;Holt;1916,,Chicago poems,rev,pos,,1916,PMV,1878,m,us,,,y
mdp.39015063915642,1916,1916,1916,random,282252,,Bashford[COMMA] H. H.,Boston;New York;Houghton Mifflin company;1916.,,Songs out of school,,,,,,1880,m,uk,,,
loc.ark+=13960=t85h8fd4f,1916,1916,1916,random,11210368,,White[COMMA] Charles Edward[COMMA],Syracuse[COMMA] N.Y.;John Single Paper Co.[COMMA] printers;c1916,,Poems of school and life,,,,,,1848,m,us,,,
loc.ark+=13960=t8jd5j56r,1916,1916,1916,random,9607316,,Keeler[COMMA] Charles Augustus[COMMA],New York;L. J. Gomme;1916.,,The victory: poems of triumph,,,,,,1871,m,us,,,
loc.ark+=13960=t01z4v628,1916,1916,1916,random,449448,,Havener[COMMA] William Alexander.,Clovis[COMMA] N. M.;1916.,,Evening pastimes,,,,,,,m,,,,
uc2.ark+=13960=t12n5658q,1915,1915,1915,reviewed,7694830,1729410,Cornford[COMMA] Frances Darwin[COMMA],London;Poetry Bookshop;1915.,,Spring morning,rev,neg,,1915,EGO,1886,f,uk,,,
uc1.b4101575,1915,1915,1915,reviewed,4136771,1920139,Percy[COMMA] William Alexander[COMMA],New Haven;Yale University Press; [etc.[COMMA] etc.;1915.,,Sappho in Levkas,rev,neg,,1917,PMV,1885,m,us,,,
uc2.ark+=13960=t81j9n694,1915,1915,1915,reviewed,1417790,6537454,Flecker[COMMA] James Elroy[COMMA],London;The Poetry Bookshop;1915,,The old ships,rev,,elite,1915,EGO,1884,m,uk,,,
uc1.b4100495,1915,1915,1915,reviewed,6154080,367177,Stephens[COMMA] James[COMMA],New York;The Macmillan company;c1915,,Songs from the clay,rev,,,1915,PMV,1880,m,ir,,,
uc1.b4100799,1915,1915,1915,reviewed,6154216,6566006,Wickham[COMMA] Anna[COMMA],London;The Poetry bookshop;1915.,,The contemplative quarry,rev,,,1915,EGO,1883,f,uk,,,
